Code;Nom;Type-de-retenue;Région;Département;Commune;Rivière;Date-construction;Lat;Lon;Lat. barrage;Long. Barrage;Lat. retenue;Long. Retenue;hauteur (m);Volume_Mm3;superficie_ha;Sbassin amont (km²);altitude_mNGF;Maitre-ouvrage_exploitant;Usages
268;Lizon;à déterminer;Occitanie;Hautes-Pyrénées;Orieux;La Lizonne;2006;43,2371;0,315833;;;;;18;1,6;22,25;?;401;Compagnie D’aménagement Des Coteaux De Gascogne;?
269;Louet;"Retenue ""classique""";Occitanie;Hautes-Pyrénées;Escaunets;Carbouere Ou Louet-devant;1994;43,3461;-0,0636111;43,346473;-0,06363;43,344756;-0,064403;28;5,2;48;16;325;CACG;Hydroélectricité
270;Lourden;"Retenue ""classique""";Nouvelle Aquitaine;Landes;Duhort-Bachen;Lourden;1987;43,7061;-0,307778;43,706428;-0,307695;43,703558;-0,307137;22,5;5,1;65;18;138;CACG;Alimentation en eau
271;Lurberria;retenue sèche (crues ou abandonnée);Nouvelle Aquitaine;Pyrénées-Atlantiques;Saint-Pée-sur-Nivelle;La Nivelle;2008;43,3136;-1,53306;;;;;22;4;xx60;?;60;Syndicat Du Bassin De La Nivelle;Crues
272;Lussas;;Auvergne-Rhône-Alpes;Ardèche;Lussas;Auzon;1980;44,6322;4,49722;;;;;18;0,45;7;26,2;117,3;ASA Irrigation Plaine Lussas;Irrigation / Alimentation en eau
273;Luzège;à déterminer;Nouvelle Aquitaine;Corrèze;Saint-Pantaléon-de-Lapleau;Luzège;1951;45,3096;2,17806;;;;;40;3,8;27;406;366;EDF;Hydroélectricité
274;Luzières;à déterminer;Occitanie;Tarn;Lacrouzette;L'Agout;1958;43,6675;2,41306;;;;;19;0,36;4;506;336;Legta Fonlabour;Irrigation
275;Madine;"Retenue ""classique""";Grand-Est;Meurthe-et-Moselle;Pannes;Rupt de Mad;1972;48,9217;5,75889;48,923005;5,758582;48,922948;5,753797;16;35;1100;44;230;Commune De Metz / Commune De Metz Et Société Moselanne Des Eaux;Alimentation en eau/Crues/Loisirs
276;Madone;;Auvergne-Rhône-Alpes;Rhône;Coise;Corsenat;1990;45,6067;4,48333;;;;;17,8;0,293;5,6;?;389;Syndicat Mixte d'Hydr. Agri 69 /SDEI;Irrigation
277;Magnoac;"Retenue ""classique""";Occitanie;Hautes-Pyrénées;Peyret-Saint-André;Geze;2006;43,3053;0,506111;43,305199;0,505851;43,3032;0,50362;18,8;4,9;62,5;?;310;CACG;Alimentation en eau
278;Maison du Roy;"Type ""classique""";PACA;Hautes Alpes;Guillestre;Guil;1982;44,6761;6,69139;44,675846;6,691081;44,676487;6,691397;28,5;0,3;3,5;580;1060;EDF;Hydroélectricité
279;Malarce;;Auvergne-Rhône-Alpes;Ardèche;Gravières;Le Chassezac;1970;44,4442;4,06389;;;;;28,4;3,72;31;482;223,5;EDF;Hydroélectricité
280;Malaurie;digue de canal;PACA;Var;Saint-Julien;Le Verdon;1967;43,7078;5,87472;;;;;35,0;0,2;digue canal;?;?;EDF;Hydroélectricité/Irrigation/Alimentation en eau/Loisirs
281;Malause;"retenue ""linéaire"" - fil de l'eau";Occitanie;Tarn-et-Garonne;Malause;La Garonne;1973;44,0806;0,980556;44,080838;0,98051;44,086656;0,991283;14,2;15;575;30900;62;EDF;Hydroélectricité/Loisirs
282;Mallemort;digue de canal;PACA;Bouches du Rhône;Mallemort;Canal de Mallemort;1971;43,7086;5,22028;;;;;18,0;3,7;digue canal;?;121;EDF;Hydroélectricité
283;Manciès;"retenue ""linéaire"" - fil de l'eau";Occitanie;Haute-Garonne;Carbonne;La Garonne;1965;43,2828;1,20417;43,282577;1,204191;43,279121;1,196359;18,5;8;160;4650;211;?;Hydroélectricité / Irrigation
284;Manosque;digue de canal;PACA;Alpes de Haute Provence;Volx;La Durance;?;43,8767;5,84861;;;;;18,0;0,9;digue canal;?;?;EDF;Hydroélectricité
285;Marcaoue;"Type ""classique""";Occitanie;Gers;Pellefigue;La Marcaoue;1988;43,4694;0,798889;;;;;15,9;1,5;17,5;?;250;Asa De La Marcaoue;Alimentation en eau
286;Marcillac;"retenue ""linéaire"" - vallée de rivière";Nouvelle Aquitaine;Corrèze;Saint-Pardoux-la-Croisille;La Doustre;1949;45,2481;1,99667;45,247828;1,996686;45,248568;1,997919;44,8;31;220;140;495;EDF;Hydroélectricité
287;Marèges;"retenue ""linéaire"" - vallée de rivière";Auvergne-Rhône-Alpes;Cantal;Saint-Pierre / Liginiac;La Dordogne;1935;45,392;2,36462;45,391895;2,364434;45,39402;2,364456;82;47,2;200;2540;418;SHEM;Hydroélectricité
288;Marillet;"retenue ""linéaire"" - vallée de rivière";Pays-de-la-Loire;Vendée;Château-Guibert;Mariller;1986;46,5575;-1,23778;46,557758;-1,237906;46,559034;-1,237026;16;7,115;135;135;26,8;Siaep De La Région De Mareuil Sur Lay / Compagnie Générale Des Eaux;Alimentation en eau/Irrigation/Crues/Hydroélectricité
289;Marne Giffaumont;"Retenue ""classique""";Grand-Est;Marne;Giffaumont-Champaubert;;1974;48,5578;4,74778;48,557508;4,746589;48,566786;4,75772;20;350;4800;2900;142,2;Etpb Seine Grands Lacs;Crues / Alimentation en eau
290;Marquisades;réservoir artificiel;Grand-Est;Ardennes;Les Mazures;?;1976;49,9206;4,62194;49,921144;4,62276;49,918492;4,62688;18;8,3;66;0,7;408;EDF;Hydroélectricité
291;Martineix;"retenue ""linéaire"" - vallée de rivière";Nouvelle Aquitaine;Haute-Vienne;Saint-Julien-le-Petit;Maulde;1962;45,8167;1,67556;45,816579;1,675418;45,815954;1,675783;15,5;1,62;40;176;354;EDF;Hydroélectricité
292;Mas d'Armand;à déterminer;Occitanie;Lozère;Langogne;Gazelle;1981;44,7283;3,83389;;;;;19;0,814;10,5;53;947;Association Syndicale D'irrigation De Luc;Irrigation
293;Mas-Chaban;"Retenue ""classique""";Nouvelle Aquitaine;Charente;Lézignac-Durand;La Moulde;2000;45,8183;0,644444;45,818675;0,644586;45,815474;0,645959;23;14,2;174;52;221,4;Conseil Départemental Charente;Irrigation, Alimentation en eau et Loisirs.
294;Matemale;"Retenue ""classique""";Occitanie;Pyrénées-Orientales;Matemale;L'Aude;1960;42,5778;2,10972;42,577214;2,110006;42,57437;2,10726;33,5;20,55;223;32;1541;EDF;Hydroélectricité
295;Maury;"Retenue ""classique""";Occitanie;Aveyron;Saint-Amans-des-Cots;La Selves;1947;44,6625;2,6644;44,662789;2,664359;44,661492;2,66599;65;34,2;166;164;590;EDF;Hydroélectricité
296;Mayet de Montagne;;Auvergne-Rhône-Alpes;Allier;Châtel-Montagne;La Besbre;1931;46,0864;3,68778;;;;;21;1,19;22;135;476;EDF;Hydroélectricité
297;Mazeaud;"Retenue ""classique""";Nouvelle Aquitaine;Haute-Vienne;Saint-Léger-la-Montagne;Couze;1978;46,0343;1,38914;46,036765;1,389368;46,036266;1,390881;32;7,1;46;22;459;?;Alimentation en eau
298;Meinettes;;Auvergne-Rhône-Alpes;Ardèche;Cheminas;Ozon;1990;45,1431;4,73167;;;;;19;0,8;14;11,4;399,2;ASA de Montbard;Irrigation / Alimentation en eau
299;Mervent;"retenue ""linéaire"" - vallée de rivière";Pays-de-la-Loire;Vendée;Mervent;La Vendée;1956;46,5128;-0,781944;46,512816;-0,781796;46,514079;-0,782622;26;8,24;128;385;38;?;Alimentation en eau/Crues/Hydroélectricité/Loisirs
300;Mesce;"Type ""classique""";PACA;Alpes Maritimes;Tende;Bionia;1917;44,0695;7,52732;44,069565;7,527334;44,070181;7,525424;60,0;1,2;7,65;8,7;67,5;EDF;Hydroélectricité
301;Mesnil;"Retenue ""classique""";Normandie;Calvados;Saint-Germain-de-Tallevende-la-Lande-Vaumont;La dathée;1977;48,8103;-0,944167;48,809991;-0,944039;48,809715;-0,945251;11;1,51;40;27,6;163;Commune De Vire;Alimentation en eau
302;Miallet;"Retenue ""classique""";Nouvelle Aquitaine;Dordogne;Mialet;La Cole;1993;45,5491;0,91984;45,549105;0,919961;45,550458;0,922278;20,5;4,953;77;17;301;Conseil Départemental De La Dordogne / Sogedo;Irrigation / Alimentation en eau
303;Michelbach Aval;"Retenue ""classique""";Grand-Est;Haut-Rhin;Aspach-le-Bas;Michelbach;1982;47,7547;7,13056;47,755174;7,130863;47,756443;7,126614;22,5;7,325;80,6;4,8;337,85;?;Alimentation en eau , hydroélectricité
304;Miel;à déterminer;Nouvelle Aquitaine;Corrèze;Beynat;;1968;45,1279;1,76607;45,127879;1,766048;45,129166;1,767132;9,5;0,28;10;;;?;Activités touristiques
305;Miélan;"Retenue ""classique""";Occitanie;Gers;Miélan;L'Osse;1968;43,4492;0,320556;43,449256;0,320331;43,446624;0,321082;15;3,7;77;23;219;CACG;Crues/Alimentation en eau/Loisirs
306;Migouélou;"Retenue ""classique""";Occitanie;Hautes-Pyrénées;Arrens-Marsous;Arriougrand;1959;42,8881;-0,298954;42,888531;-0,299317;42,888083;-0,300191;31;11,9;50;2,65;2280;EDF;Hydroélectricité
307;Miodet;;Auvergne-Rhône-Alpes;Puy-de-Dôme;Saint-Flour;Miodet;1903;45,7142;3,52722;;;;;24,1;0,57;5,35;100;356,4;EDF;Hydroélectricité
308;Miquelou;à déterminer;Occitanie;Tarn;Graulhet;Verdaussou;1929;43,75;1,99278;;;;;23;0,51;8,6;7,2;192;EDF;Hydroélectricité
309;Mireloup;;Bretagne;Ille et Vilaine;Tronchet;Meleuc;1976;48,5009;-1,85324;;;;;20,8;1,33;23,1;27;44,5;?;Alimentation en eau
310;Mirgenbach;"Retenue ""classique""";Grand-Est;Moselle;Cattenom;Mirgenbach;1985;49,4183;6,24278;49,418469;6,242971;49,420479;6,23928;22;7,3;95;2,2;182;EDF;Loisirs
311;Monbalen;à déterminer;Nouvelle Aquitaine;Lot-et-Garonne;Monbalen;?;?;44,315;0,742222;;;;;16;0,3;6;4;171;Sivu De La Masse Et De La Laurendanne;?
312;Monceaux la Virolle;"Retenue ""classique""";Nouvelle Aquitaine;Corrèze;Viam;Vézère;1945;45,5858;1,88194;45,585702;1,881819;45,585972;1,883772;31,8;20,5;183;205;666;EDF;Hydroélectricité
313;Monclar;à déterminer;Occitanie;Tarn-et-Garonne;Monclar-de-Quercy;La garinette;1973;43,9642;1,58944;;;;;19,7;0,6;9;?;?;Commune de Monclar de Quercy;loisirs
314;Monnes (Etang);"Retenue ""classique""";Occitanie;Aveyron;Montézic;Le laney;1981;44,7256;2,65556;44,726228;2,657167;44,718993;2,657898;57;33,6;xx232;16,8;705;EDF;Hydroélectricité
315;Mont Cenis;"Retenue ""classique""";Auvergne-Rhône-Alpes;Savoie;Lanslebourg-Mont-Cenis;Cenise;1969;45,2256;6,95333;45,225934;6,952676;45,232705;6,94581;95;320;661;51,4;1979;EDF;Hydroélectricité
316;Mont Larron;"retenue ""linéaire"" - vallée de rivière";Nouvelle Aquitaine;Haute-Vienne;Saint-Julien-le-Petit;Maulde;1953;45,8203;1,71833;45,820448;1,71833;45,819835;1,718791;28;4,8;67;223;379;?;Hydroélectricité
317;Montagnèse;à déterminer;Occitanie;Tarn;Mazamet;Linoubre;1934;43,4614;2,34539;;;;;17;1,16;24;7;682;?;Loisirs
318;Montaigut;;Auvergne-Rhône-Alpes;Puy-de-Dôme;Saint-Eloy-les-Mines;Danne;1921;46,1714;2,81981;;;;;20,5;0,27;3;2,1;569,25;Commune de Saint-Eloy-les-Mines;Irrigation / Loisirs / Alimentation en eau
319;Montaubry;"Retenue ""classique""";Bourgogne-France-Comté;Saône et Loire;Saint-Julien-sur-Dheune;?;?;46,7817;4,54083;46,78176;4,540668;46,783016;4,53967;16,6;4,35;99;15,73;280,2;VNF;Navigation / Loisirs
320;Montbel;"Retenue ""classique""";Occitanie;Ariège;Montbel;Triere;1985;42,9936;1,95861;42,993817;1,958542;42,988638;1,958284;36;60;550;15;402;institution interdépartementale pour l’aménagement du barrage de Montbel;Hydroélectricité
321;Montdely;"Retenue ""classique""";Occitanie;Ariège;Gabre;Leze;1980;43,0575;1,43556;43,057245;1,435244;43,056225;1,435019;24;4;55;13,6;384;Syndicat Mixte d'Aménagement Hydraulique de la Vallée de la Lèze;Hydroélectricité
322;Monteynard;"retenue ""linéaire"" - vallée de rivière";Auvergne-Rhône-Alpes;Isère;Avignonet;Drac;1962;44,9612;5,68876;44,96123;5,68879;44,960729;5,690699;135;309;660;2050;494,5;EDF;Hydroélectricité
323;Monts d'Orb (Avène);"retenue ""linéaire"" - vallée de rivière";Occitanie;Hérault;Avène;L'Orb;1962;43,7653;3,09306;43,765518;3,093142;43,766982;3,091501;60;33,6;194;125;433;BRL;Irrigation/Alimentation en eau
324;Mottets;;Auvergne-Rhône-Alpes;Savoie;Saint-Nicolas-la-Chapelle;L'Arly;1950;45,8017;6,49694;;;;;17,9;0,25;6;?;?;EDF;Hydroélectricité
325;Motz;;Auvergne-Rhône-Alpes;Haute-Savoie;Seyssel;Fier;1920;45,9328;5,86111;;;;;53;0,7;32;1376;?;EDF;Hydroélectricité
326;Mouche;"Retenue ""classique""";Grand-Est;Haute Marne;Saint-Ciergues;La Mouche;?;47,8825;5,25833;47,882484;5,259172;47,881152;5,258378;21,7;7,485;88;65;363,2;VNF;Navigation/Irrigation/Alimentation en eau
327;Moulinets;;Normandie;Manche;Jobourg;?;1964;49,6683;-1,89694;;;;;35;0,45;4;2,5;67,5;CEA/AREVA;Refroidissement Centrale Nucléaire
328;Nabeillou;à déterminer;Occitanie;Tarn;Graulhet;?;?;43,7583;1,96917;;;;;18;0,3;4;?;175;EDF;Hydroélectricité
329;Naguilhes;"Retenue ""classique""";Occitanie;Ariège;Orlu;Gnoles;1961;42,6611;1,91667;42,661174;1,91665;42,658318;1,916843;56;43;93;11,8;1891;?;Irrigation/Alimentation en eau/Crues/Navigation/Hydroélectricité
330;Naussac;"Retenue ""classique""";Occitanie;Lozère;Langogne;La Loire;1982;44,7478;3,82528;44,74781;3,825065;44,742359;3,821284;50;190;1050;53;947;établissement Public Loire / Brl Exploitation;Alimentation en eau/Loisirs/Irrigation/Hydroélectricité
331;Néaoua;"Type ""classique"" (linéaire, forestier)";DOM-TOM;Nouvelle Calédonie;Houaïlou;Neaoua;1982;-21,3714;165,556;;;;;20,0;1,8;20;?;?;ENERCAL;Hydroélectricité
332;Neuvic d'Ussel;"Retenue ""classique""";Nouvelle Aquitaine;Corrèze;Sérandon;Triouzoune;1948;45,3767;2,29833;45,376877;2,298319;45,377729;2,297364;24,3;24;294;130;602;EDF;Hydroélectricité
333;Notre-Dame de Commiers;"retenue ""linéaire"" - vallée de rivière";Auvergne-Rhône-Alpes;Isère;Saint-Martin-de-la-Cluze;Drac;1964;45,0056;5,68778;45,005365;5,688065;45,004212;5,691069;40,5;34;165;2070;367;EDF;Hydroélectricité
334;Noyer;"Type ""classique""";PACA;Var;Bormes-les-Mimosas;Grand Noyer;1970;43,2047;6,37611;43,204914;6,376006;43,205203;6,376017;17;0,032;10;1,89;?;Etat, ONF;Loisirs, alimentation en eau
335;Olhadoko;à déterminer;Nouvelle Aquitaine;Pyrénées-Atlantiques;Larrau;Olhadoko Erreka;1996;42,9881;-0,956944;;;;;17,2;0,02;3;12,7;?;SHEM;Hydroélectricité
336;Olivettes;"Retenue ""classique""";Occitanie;Hérault;Vailhan;La Peyne;1989;43,5592;3,29778;43,558754;3,297701;43,559664;3,298871;35;4,37;40;29,5;169;?;Irrigation/Alimentation en eau
337;Ondénon;;Auvergne-Rhône-Alpes;Loire;La Ricamarie;Ondenon;1904;45,3944;4,38667;;;;;28;0,4;3;5,3;?;Saint-Etienne Métropole;Alimentation en eau
338;One;retenue sèche;Occitanie;Haute-Garonne;Cazarilh-Laspènes;One;1960;42,7958;0,573611;42,795713;0,573739;42,79591;0,573085;25,0;0,1;sec;133;700;état / Serv. Restaur.terrains Montagne;Crues
339;Orédon;"Retenue ""classique""";Occitanie;Hautes-Pyrénées;Aragnouet;Neste de Couplan;?;42,8258;0,17;42,825474;0,168765;42,827202;0,166604;29;7,3;43;13,1;1851;SHEM;Hydroélectricité/Alimentation en eau
340;Ortolo;;Corse;Corse du Sud;Foce;L'Ortolo;1996;41,6103;9,045;;;;;36;2,92;26,6;55;175,7;?;Irrigation/Alimentation en eau/Hydroélectricité
341;Ospedale;"Retenue ""classique""";Corse;Corse du Sud;Porto-Vecchio;Palavesani;1979;41,6681;9,20778;41,668498;9,207559;41,667312;9,206078;26;2,86;46;2,6;951;?;Irrigation/Alimentation en eau/Hydroélectricité
342;Oule;"Retenue ""classique""";Occitanie;Hautes-Pyrénées;Saint-Lary-Soulan;L'Oule;1923;42,8253;0,205278;42,825109;0,205328;42,828272;0,203418;50;16,6;60;28,4;1817;EDF;Hydroélectricité
343;Palhères;retenue sèche;Occitanie;Lozère;Pourcharesses;Palheres;1963;44,4358;3,91722;;;;;15,3;0,0;sec;;;;
344;Palisse;"Retenue ""classique""";Auvergne-Rhône-Alpes;Ardèche;Cros-de-Géorand;La Loire;1954;44,7856;4,08917;44,785641;4,08942;44,783936;4,089549;55,8;8,5;47;131;1012,2;EDF;Hydroélectricité
345;Pannecière Chaumard;"Retenue ""classique""";Bourgogne-France-Comté;Nièvre;Chaumard;L'Yonne;1950;47,1639;3,87444;47,164005;3,874376;47,161685;3,87562;49;78,6;505;220;326;Etpb Seine Grands Lacs;Crues/Alimentation en eau/Hydroélectricité/Loisirs/Navigation
346;Panthier;réservoir artificiel;Bourgogne-France-Comté;Côte d'Or;Vandenesse-en-Auxois;Commarin;?;47,2403;4,63472;47,241567;4,635227;47,242849;4,631514;14,3;8,1;104;8,4;374,92;VNF;navigation
347;Parayre;à déterminer;Occitanie;Haute-Garonne;Sainte-Foy-de-Peyrolières;Saudrune;1989;43,4681;1,15944;;;;;12;1,1;25;14,7;224;Asa De Sainte Foy De Peyrolieres;Irrigation
348;Pareloup;"Retenue ""classique""";Occitanie;Aveyron;Canet-de-Salars;Violou;1953;44,2117;2,71111;44,211547;2,71124;44,210724;2,712688;43,45;169;1259;160;806;EDF;Hydroélectricité/eau potable/loisirs/soutien d’étiage
349;Pas du Riot;;Auvergne-Rhône-Alpes;Loire;Planfoy;Le Furan;?;45,3786;4,45667;;;;;31,5;1,08;14;21;?;Commune de Saint-Etienne;Alimentation en eau
350;Pas du Sant;à déterminer;Occitanie;Tarn;Verdalle;La Santoire;1940;43,4686;2,20333;;;;;19;0,135;1,87;4,1;596;?;Hydroélectricité
351;Passet;"Retenue ""classique""";Occitanie;Pyrénées-Orientales;Porté-Puymorens;Font Vive;?;42,5525;1,86557;42,552334;1,86541;42,5526;1,866067;16,2;0,2;40;?;1700;EDF;Hydroélectricité
352;Passouira;;Auvergne-Rhône-Alpes;Haute-Loire;Boisset;Ance du Nord;1916;45,3059;3,94944;;;;;21;0,324;6;361;695;EDF;Hydroélectricité
353;Paty;"Type ""classique"" encaissé";PACA;Vaucluse;Caromb;Lauron;?;44,1303;5,11333;44,130616;5,113427;44,131201;5,113298;20,5;0,2564;3;5;30;Commune De Caromb;Loisirs, irrigation
354;Payolle;à déterminer;Occitanie;Hautes-Pyrénées;Ancizan;Adour de Payolle;1971;42,9356;0,294444;42,934601;0,294045;42,934845;0,295676;15;0,45;12,5;6,2;99;Asa De Saint Maur Soules;Irrigation
355;Peilhou;à déterminer;Nouvelle Aquitaine;Pyrénées-Atlantiques;Borce;Gave d'Aspe;1925;42,8294;-0,558611;42,829256;-0,558655;42,828406;-0,558467;19,1;0,11;3,6;33;?;EDF;Hydroélectricité
356;Pelle cahus;à déterminer;Occitanie;Gers;la Romieu;Sept-hountas;1986;43,9725;0,511389;;;;;17;0,312;6;1,35;?;Syndicat Intercommunal De Realimentation En Eau Des Vallees Du Laus Et Cabournieu;Irrigation
357;Peri;"Retenue ""classique""";Corse;Haute-Corse;Canale-di-Verde;Grotta;1964;42,2669;9,51694;42,266888;9,51699;42,267999;9,516303;28;3;48;0,8;80;?;Irrigation/Alimentation en eau/Hydroélectricité
358;Pessoulens;à déterminer;Occitanie;Gers;Pessoulens;La Baysole;1974;43,8575;0,8825;;;;;15,04;0,707;14,6;9,1;152;EDF;Hydroélectricité
359;Petit Saut;"Retenue ""classique""";DOM-TOM;Guyane;Sinnamary;La Sinamary;1996;5,06194;-53,0486;5,063004;-53,04654;5,055387;-53,036087;37;3500;31000;5927;37;EDF;Hydroélectricité
360;Petite Rhue;;Auvergne-Rhône-Alpes;Cantal;Saint-Amandin;Petite-Rhue;1927;45,3285;2,66908;;;;;29;0,34;4,3;188;696,1;?;Hydroélectricité
361;Peyralade;à déterminer;Occitanie;Tarn-et-Garonne;Roquecor;Combe De La Molle;1988;44,3083;0,955417;;;;;19,5;1,37;18;?;153;Asa De Montaigu De Quercy;irrigation
362;Peyrelongue;à déterminer;Nouvelle Aquitaine;Pyrénées-Atlantiques;Lucarré;Petit Lees;2002;43,3997;-0,0888415;;;;;18;1,1;20;4,1;274;Asa Du Petit Lées;Irrigation
363;Pierre Brune;"retenue ""linéaire"" - vallée de rivière";Pays-de-la-Loire;Vendée;Mervent;Mere;1979;46,5433;-0,781111;46,543599;-0,781186;46,543739;-0,782431;15;3;65;157;50,8;?;Alimentation en eau/Crues/Hydroélectricité/Loisirs
364;Pinet;"retenue ""linéaire"" - vallée de rivière";Occitanie;Aveyron;Viala-du-Tarn;Tarn;1929;44,0706;2,81;44,070155;2,809998;44,068397;2,813346;41,1;10,4;109;2677;323;Entente Interdépartementale 81/82 / Saur;Alimentation en eau/Irrigation
365;Piney;;Auvergne-Rhône-Alpes;Loire;La Valla-en-Gier;Le Gier;1955;45,4256;4,52722;;;;;45;1,9;14;19;?;Saint-Etienne Métropole;Alimentation en eau
366;Pizançon;"retenue ""linéaire"" - fil de l'eau";Auvergne-Rhône-Alpes;Drôme;Romans-sur-Isère;L'Isère;1931;45,0408;5,08667;45,040878;5,086683;45,040848;5,088732;14,2;12,5;240;11320;170;EDF;Hydroélectricité
367;Pla de Soulcem;"Retenue ""classique""";Occitanie;Ariège;Auzat;Mounicou;1984;42,6767;1,45083;42,67724;1,45113;42,673785;1,448769;66,5;29,3;89,5;44,3;1581;EDF;Irrigation/Alimentation en eau/Hydroélectricité
368;Plan d'Amont;;Auvergne-Rhône-Alpes;Savoie;Aussois;Saint-Benoît;1955;45,255;6,72313;;;;;47,6;8,4;32,5;21;2078,5;EDF;Hydroélectricité
369;Plan d'Arem;à déterminer;Occitanie;Haute-Garonne;Fos;La Garonne;1969;42,8578;0,738333;;;;;16;0,36;8;?;570;EDF;Hydroélectricité
370;Plan d'Aval;;Auvergne-Rhône-Alpes;Savoie;Aussois;Saint-Benoît;1951;45,244;6,72429;;;;;34;3,93;21,5;23,2;1948,44;EDF;Hydroélectricité
371;Plats;;Auvergne-Rhône-Alpes;Loire;Saint-Genest-Malifaux;Semene;1959;45,3314;0,4075;;;;;18;1,55;26;28;918,2;Saint-Etienne Métropole;Alimentation en eau
372;Pomiro;à déterminer;Occitanie;Gers;Montréal;Pomiro;?;43,9175;0,153889;;;;;15;0,045;0,8;0,2;?;EDF;Hydroélectricité
373;Pont Avet;;Bretagne;Côte d'Armor;Ploubalay;Fremur;?;48,589;-2,12282;;;;;11,7;0,5;15,8;?;?;?;Alimentation en eau
374;Pont Baldy;"Type ""classique"" encaissé";PACA;Hautes Alpes;Briançon;Cerveyrette;1966;44,8828;6,65326;44,882759;6,653273;44,882941;6,653745;56;0,958;5,1;115,4;1344,75;énergie Développement Services Du Brianconnais (edsb);Hydroélectricité
375;Pont de Salars;"retenue ""linéaire"" - vallée de rivière";Occitanie;Aveyron;Pont-de-Salars;Le Viaur;1952;44,2869;2,72861;44,287058;2,728516;44,287911;2,728559;34;20,55;182;182;719;?;Irrigation/Alimentation en eau/Crues
376;Pont de Veyrières (Veyrières);;Auvergne-Rhône-Alpes;Ardèche;Meyras;Fontaulière;1986;44,69;4,27222;;;;;24;0,47;10;123;372,5;?;Alimentation en eau / Hydroélectricité / Irrigation
377;Pont du Roi;"Retenue ""classique""";Bourgogne-France-Comté;Saône et Loire;Auxy;Pont du Roi;1959;46,9297;4,46667;46,929741;4,467021;46,928071;4,468008;23;3,091;68;44;423;Conseil Départemental De Saône-et-loire;Alimentation en eau/Loisirs
378;Pont et Massène;"retenue ""linéaire"" - vallée de rivière";Bourgogne-France-Comté;Côte d'Or;Pont-et-Massène;L'Armançon;?;47,4686;4,35944;47,468478;4,359521;47,46747;4,358749;23,1;6,1;82;269;296;?;navigation, Alimentation en eau, Loisirs
379;Pont Rolland;;Bretagne;Côte d'Armor;Morieux;Le Gouessant;1936;48,5183;-2,6199;;;;;17;1;11,4;?;?;EDF;Hydroélectricité
380;Pont Ruffier;;Bretagne;Côte d'Armor;Hinglé;Guinefort;1974;48,3911;-2,08798;;;;;17;1,9;30;38,6;55;Communauté De Communes De Dinan / Société Des Eaux Du District De Dinan (sedud);Alimentation en eau
381;Pontabouland;;Auvergne-Rhône-Alpes;Loire;Saint-Bonnet-le-Courreau;Le Lignon du Forez;1926;45,6889;3,92389;;;;;13,5;0,12;2,9;115;618,9;EDF;Hydroélectricité
382;Pontviel;à déterminer;Occitanie;Tarn;Lamontélarié;L'Agout;1980;43,6006;2,57944;;;;;18,5;0,9;14,5;369;?;?;Hydroélectricité
383;Port Melin;;Bretagne;Morbihan;Groix;Port Melin;1967;47,6472;-3,47224;;;;;18;0,177;2;2,5;21,5;Commune de Groix;Alimentation en eau
384;Portillon;à déterminer;Occitanie;Haute-Garonne;Oô;Neste d'Oô;1951;42,7034;0,509722;42,703409;0,509596;42,70158;0,50848;22,3;6,8;36;3,2;?;EDF;Hydroélectricité
385;Poutès;;Auvergne-Rhône-Alpes;Haute-Loire;Alleyras;Allier;1941;44,9465;3,673;;;;;16,8;2,4;39,15;?;648;EDF;Hydroélectricité
386;Pradeaux;;Auvergne-Rhône-Alpes;Puy-de-Dôme;Grandrif;Enfer;1940;45,5389;3,84564;;;;;21,7;2,04;24;7,6;?;?;Hydroélectricité
387;Prades;"Type ""classique""";Auvergne-Rhône-Alpes;Puy-de-Dôme;Saint-Rémy-sur-Durolle;La Durolle;1960;45,8931;3,6019;;;;;15,0;0,6;12,9;?;?;?;Loisirs
388;Prat;"retenue ""linéaire"" - vallée de rivière";Auvergne-Rhône-Alpes;Allier;Sainte-Thérence;Le Cher;1970;46,2559;2,55634;46,255893;2,556219;46,254617;2,554781;24;1,56;192;1654;262;EDF;Hydroélectricité
389;Puy Terrier;"Retenue ""classique""";Nouvelle Aquitaine;Deux-Sèvres;Saint-Loup-Lamairé;Cebron;1982;46,7728;-0,193611;46,773216;-0,193666;46,772657;-0,195479;22;11,5;190;162;119;?;Alimentation en eau/Irrigation/Crues/Loisirs
390;Puydarrieux;"Retenue ""classique""";Occitanie;Hautes-Pyrénées;Puydarrieux;Baisolle;1987;43,2953;0,426111;43,295583;0,426635;43,291023;0,423974;24;14,5;192;60;274;Gestion CACG;irrigation/loisirs
391;Puylaurent;"Retenue ""classique""";Occitanie;Lozère;la Bastide-Puylaurent;Le Chassezac;1996;44,53;3,88694;44,529919;3,887104;44,52845;3,885645;68,8;12,8;60;80;943;EDF;Irrigation/Alimentation en eau/Crues
392;Puyvalador;à déterminer;Occitanie;Pyrénées-Orientales;Réal;L'Aude;1932;42,6482;2,12528;;;;;30,9;9,9;2;134;1425;Syndicat Intercommunal D'eau Potable Du Sant;Alimentation en eau
393;Queuille;;Auvergne-Rhône-Alpes;Puy-de-Dôme;Saint-Gervais-d'Auvergne;Sioule;1905;45,9806;2,86944;;;;;28;5,92;36;1350;432;EDF;Hydroélectricité
